position,drci,true_self_sim,cold_self_sim,true_cold_corr,model
1,0.003060162,0.9911104,0.9880503,0.9894036656226913,GPT-4o-mini (Phil)
2,0.018248737,0.9282431,0.9099944,0.821702826244073,GPT-4o-mini (Phil)
3,0.01728028,0.9584209,0.9411406,0.8923913979846241,GPT-4o-mini (Phil)
4,0.011023581,0.9359703,0.9249468,0.9033454402273222,GPT-4o-mini (Phil)
5,0.15108192,0.9095026,0.75842065,0.3177162618087138,GPT-4o-mini (Phil)
6,0.0061992407,0.9006246,0.8944252,0.6854105184608461,GPT-4o-mini (Phil)
7,0.040655375,0.8673143,0.82665884,0.7482497457079921,GPT-4o-mini (Phil)
8,0.022144318,0.8765954,0.8544511,0.7247159534714984,GPT-4o-mini (Phil)
9,0.17844391,0.88749015,0.70904624,0.5995051393421025,GPT-4o-mini (Phil)
10,0.07078838,0.9273625,0.85657406,0.6751602082278633,GPT-4o-mini (Phil)
11,0.0786041,0.8824665,0.8038625,0.4376509103332349,GPT-4o-mini (Phil)
12,-0.016048968,0.9016167,0.9176657,0.8724316438324226,GPT-4o-mini (Phil)
13,-0.06351864,0.8247806,0.8882993,0.6521386073280733,GPT-4o-mini (Phil)
14,-0.023551881,0.8708634,0.8944151,0.7582840569087234,GPT-4o-mini (Phil)
15,-0.007620394,0.9180014,0.9256218,0.8807968447553112,GPT-4o-mini (Phil)
16,0.00553751,0.9277796,0.9222419,0.917468044309453,GPT-4o-mini (Phil)
17,-0.042056262,0.8727234,0.91477966,0.711190772657023,GPT-4o-mini (Phil)
18,0.0509305,0.860786,0.8098556,0.5253367671683892,GPT-4o-mini (Phil)
19,0.11909866,0.8670113,0.7479128,0.5445254393063446,GPT-4o-mini (Phil)
20,-0.06993878,0.893977,0.9639158,0.6534276532788699,GPT-4o-mini (Phil)
21,-0.026509762,0.8707201,0.89722973,0.8611890985659088,GPT-4o-mini (Phil)
22,-0.007885456,0.88270736,0.8905928,0.8182572768513261,GPT-4o-mini (Phil)
23,0.03826189,0.8513016,0.81303984,0.7547980759092389,GPT-4o-mini (Phil)
24,0.03705114,0.9184284,0.8813773,0.7961020778335482,GPT-4o-mini (Phil)
25,0.028699517,0.90717536,0.87847596,0.833850222579665,GPT-4o-mini (Phil)
26,0.035817146,0.85152805,0.815711,0.6178012949876704,GPT-4o-mini (Phil)
27,-0.01597017,0.9238471,0.93981725,0.9163049432227022,GPT-4o-mini (Phil)
28,0.029066086,0.84069383,0.8116277,0.5997115215696437,GPT-4o-mini (Phil)
29,-0.028701425,0.8972503,0.92595166,0.782501584287637,GPT-4o-mini (Phil)
30,0.010864794,0.8798611,0.8689963,0.6458717667461857,GPT-4o-mini (Phil)
1,0.0005893111,0.99736,0.99677074,0.9968175051737744,GPT-4o (Phil)
2,0.033000708,0.94171876,0.908718,0.8144279654908569,GPT-4o (Phil)
3,0.030715704,0.9512778,0.9205622,0.8772451625654031,GPT-4o (Phil)
4,0.008071542,0.9257725,0.917701,0.8827650664929013,GPT-4o (Phil)
5,0.16166359,0.9022352,0.7405715,0.2313027609081424,GPT-4o (Phil)
6,0.006852746,0.902463,0.89561033,0.584326133494637,GPT-4o (Phil)
7,-0.0134913325,0.83503574,0.8485269,0.5988945076592569,GPT-4o (Phil)
8,0.016203761,0.82855535,0.8123515,0.7669760377620317,GPT-4o (Phil)
9,0.096227586,0.7672425,0.6710149,0.5821711149680657,GPT-4o (Phil)
10,0.16285545,0.9138443,0.75098884,0.6138650854663456,GPT-4o (Phil)
11,0.16706783,0.851925,0.68485737,0.3693994844985076,GPT-4o (Phil)
12,0.021679938,0.9130362,0.8913562,0.797709139065635,GPT-4o (Phil)
13,0.15345961,0.85619986,0.7027402,0.6648834642535869,GPT-4o (Phil)
14,-0.03658712,0.8686338,0.9052208,0.7291201876578697,GPT-4o (Phil)
15,-0.0070536137,0.90694946,0.914003,0.8667457263120851,GPT-4o (Phil)
16,-0.015446246,0.90456223,0.92000836,0.8915360250162486,GPT-4o (Phil)
17,-0.016909182,0.86559004,0.8824992,0.7922703060364865,GPT-4o (Phil)
18,0.13203412,0.8765059,0.74447155,0.5209356974747714,GPT-4o (Phil)
19,0.11586499,0.8292493,0.71338433,0.5394581162875149,GPT-4o (Phil)
20,-0.06855935,0.87556314,0.9441226,0.7583223777610199,GPT-4o (Phil)
21,-0.028639734,0.89535344,0.92399323,0.8698580407627926,GPT-4o (Phil)
22,-0.030074716,0.8588614,0.88893616,0.8105542148625328,GPT-4o (Phil)
23,0.032448888,0.83005244,0.7976035,0.6913306071330185,GPT-4o (Phil)
24,-0.029033184,0.88124293,0.91027623,0.8526786658331466,GPT-4o (Phil)
25,0.008192897,0.8789206,0.87072784,0.8372521813181962,GPT-4o (Phil)
26,0.10483909,0.8008213,0.69598216,0.5590344938927915,GPT-4o (Phil)
27,-0.0018990636,0.927539,0.929438,0.9116848690196279,GPT-4o (Phil)
28,0.0029055476,0.77771026,0.77480465,0.6526004120874425,GPT-4o (Phil)
29,-0.06917381,0.85379064,0.9229646,0.8044952186786211,GPT-4o (Phil)
30,0.002970457,0.8719113,0.8689407,0.639925701483779,GPT-4o (Phil)
1,0.0036699772,0.98149496,0.97782505,0.9794428315921927,Claude Haiku (Phil)
2,-0.006298542,0.7811671,0.7874657,0.7353276279360461,Claude Haiku (Phil)
3,0.011438012,0.8948233,0.88338536,0.8591217163453052,Claude Haiku (Phil)
4,0.010397911,0.8697707,0.85937303,0.8232502529361174,Claude Haiku (Phil)
5,-0.070581436,0.83271897,0.9033006,0.365116494171071,Claude Haiku (Phil)
6,0.06530589,0.8411367,0.77583086,0.6141620802187829,Claude Haiku (Phil)
7,0.11881775,0.86734337,0.74852556,0.7523777140837775,Claude Haiku (Phil)
8,-0.009328961,0.7866753,0.79600424,0.6590004167394788,Claude Haiku (Phil)
9,0.1116671,0.7768071,0.66514003,0.5202729344765666,Claude Haiku (Phil)
10,-0.031907678,0.8476655,0.8795732,0.5080718554913227,Claude Haiku (Phil)
11,0.13731068,0.84116757,0.70385695,0.43117362789764924,Claude Haiku (Phil)
12,-0.03250152,0.8249795,0.8574812,0.7239961984857085,Claude Haiku (Phil)
13,-0.03344989,0.79405534,0.8275054,0.5949776504205133,Claude Haiku (Phil)
14,-0.008498371,0.77779615,0.78629446,0.7198864949002609,Claude Haiku (Phil)
15,0.0014739633,0.8289259,0.82745194,0.7957397276493355,Claude Haiku (Phil)
16,-0.016524374,0.7875834,0.8041079,0.7607581325099269,Claude Haiku (Phil)
17,-0.0016028881,0.76447195,0.76607496,0.6321673438207053,Claude Haiku (Phil)
18,-0.014741898,0.81330246,0.8280443,0.4836480612656416,Claude Haiku (Phil)
19,-0.0387581,0.72903776,0.7677958,0.5765025310199953,Claude Haiku (Phil)
20,-0.019327104,0.78772837,0.8070555,0.6176982769092504,Claude Haiku (Phil)
21,0.03756976,0.78722966,0.74966,0.7111299074234818,Claude Haiku (Phil)
22,-0.011201978,0.79142904,0.80263114,0.7351806308872469,Claude Haiku (Phil)
23,-0.023401856,0.7833214,0.8067232,0.7659425621294944,Claude Haiku (Phil)
24,0.03342569,0.73721695,0.70379126,0.5511635996994388,Claude Haiku (Phil)
25,-0.028662145,0.7621502,0.79081225,0.6496680157711463,Claude Haiku (Phil)
26,-0.020825267,0.72002286,0.7408481,0.5934155769997375,Claude Haiku (Phil)
27,-0.010508597,0.83258176,0.8430903,0.7992673956661083,Claude Haiku (Phil)
28,-0.010843217,0.72797143,0.7388147,0.677417638351096,Claude Haiku (Phil)
29,-0.01837349,0.7633601,0.7817336,0.7243536335258575,Claude Haiku (Phil)
30,0.009462893,0.7935501,0.7840871,0.7179755766755834,Claude Haiku (Phil)
1,-0.0039563775,0.9582645,0.9622209,0.9600033867948811,Gemini Flash (Phil)
2,-0.034882367,0.8295484,0.8644307,0.6673282012006682,Gemini Flash (Phil)
3,0.020431995,0.8997223,0.8792902,0.8747537080998832,Gemini Flash (Phil)
4,0.09114289,0.7845843,0.6934414,0.6639092713167826,Gemini Flash (Phil)
5,0.02256924,0.5954063,0.5728372,0.5453358236964134,Gemini Flash (Phil)
6,0.061857462,0.74886376,0.68700624,0.515246951087902,Gemini Flash (Phil)
7,-0.06946516,0.57873887,0.648204,0.5026488795700197,Gemini Flash (Phil)
8,0.07413715,0.6734724,0.5993353,0.5728347851815504,Gemini Flash (Phil)
9,0.0598678,0.6990822,0.63921434,0.5522915508355117,Gemini Flash (Phil)
10,-0.07603091,0.74857724,0.82460797,0.7342592226060756,Gemini Flash (Phil)
11,0.251322,0.72701716,0.47569504,0.3764435883440553,Gemini Flash (Phil)
12,-0.038302004,0.88628787,0.92458975,0.855001016962425,Gemini Flash (Phil)
13,0.09104532,0.8382561,0.747211,0.7379204283138642,Gemini Flash (Phil)
14,-0.07268494,0.69915336,0.7718383,0.6652863443607189,Gemini Flash (Phil)
15,-0.02365309,0.87830776,0.9019608,0.8711913273401763,Gemini Flash (Phil)
16,-0.09587175,0.7143423,0.810214,0.6822197421837984,Gemini Flash (Phil)
17,0.037649393,0.7282972,0.6906478,0.6718159813658557,Gemini Flash (Phil)
18,-0.024333298,0.6426791,0.6670125,0.4397729695200539,Gemini Flash (Phil)
19,0.007152796,0.67380714,0.66665435,0.578653599335307,Gemini Flash (Phil)
20,-0.09833878,0.7542394,0.8525781,0.6689878515407119,Gemini Flash (Phil)
21,-0.1257366,0.7191074,0.84484416,0.6454648548219695,Gemini Flash (Phil)
22,0.01965022,0.82790476,0.8082546,0.8007151969097277,Gemini Flash (Phil)
23,0.10774851,0.8526789,0.74493027,0.6628373228435689,Gemini Flash (Phil)
24,-0.21750158,0.66011363,0.8776153,0.6212315678495413,Gemini Flash (Phil)
25,-0.020771086,0.798814,0.8195851,0.7602831037675901,Gemini Flash (Phil)
26,-0.04329294,0.6320512,0.67534417,0.5365502777732328,Gemini Flash (Phil)
27,-0.022698224,0.9178538,0.94055206,0.8901909784033053,Gemini Flash (Phil)
28,0.058632612,0.68859875,0.6299662,0.5921037165503374,Gemini Flash (Phil)
29,-0.0056222677,0.6873204,0.6929426,0.5936190102282186,Gemini Flash (Phil)
30,0.065173924,0.7703662,0.7051923,0.6186440242708056,Gemini Flash (Phil)
1,0.007358432,0.8826698,0.8753113,0.871533011764346,Gemini Flash (Med)
2,0.16219229,0.7639482,0.6017558,0.6246267904461104,Gemini Flash (Med)
3,-0.23755658,0.507663,0.7452196,0.4828900278341082,Gemini Flash (Med)
4,0.09543842,0.74668795,0.6512495,0.5593731473335805,Gemini Flash (Med)
5,-0.14280552,0.7210748,0.86388034,0.6711181604822962,Gemini Flash (Med)
6,-0.031325698,0.795276,0.82660174,0.5665308198225653,Gemini Flash (Med)
7,0.043390393,0.8130674,0.769677,0.7017797797358728,Gemini Flash (Med)
8,0.11191189,0.7717183,0.6598065,0.2964416838791253,Gemini Flash (Med)
9,-0.072021544,0.87675923,0.9487809,0.8018703508350142,Gemini Flash (Med)
10,0.042903125,0.84906846,0.8061654,0.30809734691982055,Gemini Flash (Med)
11,0.023761868,0.8940898,0.87032783,0.7012335893186572,Gemini Flash (Med)
12,0.10741788,0.7888206,0.68140274,0.3770836444114698,Gemini Flash (Med)
13,0.0882771,0.776978,0.688701,0.6350873309928633,Gemini Flash (Med)
14,-0.005052507,0.830443,0.8354956,0.777955190183611,Gemini Flash (Med)
15,-0.047490418,0.7944806,0.84197104,0.6849928830003414,Gemini Flash (Med)
16,-0.06713182,0.6598885,0.72702026,0.524140102062733,Gemini Flash (Med)
17,-0.08589846,0.76582634,0.8517249,0.7205514946915172,Gemini Flash (Med)
18,-0.079119205,0.7984,0.87751925,0.6297048410754656,Gemini Flash (Med)
19,-0.10258299,0.6398585,0.74244153,0.5758544246347101,Gemini Flash (Med)
20,-0.11549485,0.71905446,0.8345493,0.6520925584595245,Gemini Flash (Med)
21,0.023663223,0.7355023,0.71183914,0.4110646492175118,Gemini Flash (Med)
22,0.0754959,0.7409827,0.6654869,0.4030701550647702,Gemini Flash (Med)
23,-0.086398184,0.8264267,0.91282487,0.6719998194432838,Gemini Flash (Med)
24,0.27397966,0.79936296,0.52538335,0.5223774353095029,Gemini Flash (Med)
25,-0.13824487,0.673962,0.81220686,0.5554923048823406,Gemini Flash (Med)
26,0.029491663,0.740512,0.71102035,0.43538572807002,Gemini Flash (Med)
27,-0.11846441,0.8434061,0.96187043,0.5763562680948118,Gemini Flash (Med)
28,-0.1241858,0.6169782,0.7411641,0.5577711959680266,Gemini Flash (Med)
29,-0.0696646,0.78576005,0.8554247,0.7122397146769377,Gemini Flash (Med)
30,0.2274743,0.6537472,0.42627302,0.17645193686622007,Gemini Flash (Med)
1,0.010239422,0.84745824,0.8372189,0.8413034754217235,DeepSeek V3.1 (Med)
2,-0.01297009,0.85419464,0.8671648,0.7934799183446406,DeepSeek V3.1 (Med)
3,0.02598989,0.74053323,0.7145431,0.5954876931376741,DeepSeek V3.1 (Med)
4,-0.04624325,0.79688907,0.8431322,0.7510502714942157,DeepSeek V3.1 (Med)
5,-0.06544727,0.8620082,0.9274555,0.7520687693661524,DeepSeek V3.1 (Med)
6,-0.010894299,0.8055409,0.8164353,0.6500238751219508,DeepSeek V3.1 (Med)
7,-0.0154412985,0.86282843,0.8782698,0.8297822353545125,DeepSeek V3.1 (Med)
8,0.08184981,0.86277455,0.7809247,0.6184325887007173,DeepSeek V3.1 (Med)
9,-0.02385515,0.8799401,0.90379536,0.847163664353924,DeepSeek V3.1 (Med)
10,0.12388384,0.8705647,0.7466811,0.28080346597026073,DeepSeek V3.1 (Med)
11,0.010908246,0.88699895,0.87609065,0.817577558104519,DeepSeek V3.1 (Med)
12,0.036710322,0.7961131,0.7594029,0.4360823415319183,DeepSeek V3.1 (Med)
13,-0.04227847,0.8571494,0.89942783,0.7744100052587982,DeepSeek V3.1 (Med)
14,0.015818119,0.8843834,0.86856526,0.8220194071440168,DeepSeek V3.1 (Med)
15,-0.06616318,0.80862385,0.874787,0.7198726163225818,DeepSeek V3.1 (Med)
16,-0.06160879,0.78217405,0.84378266,0.7297239845706396,DeepSeek V3.1 (Med)
17,0.0041956306,0.86952066,0.865325,0.8231392346982506,DeepSeek V3.1 (Med)
18,-0.011391342,0.836021,0.8474124,0.7754591044397372,DeepSeek V3.1 (Med)
19,-0.0010459423,0.8233712,0.8244172,0.7417058191697866,DeepSeek V3.1 (Med)
20,0.008405924,0.9133855,0.90497965,0.8552961689074408,DeepSeek V3.1 (Med)
21,0.10125363,0.9067969,0.80554354,0.4587114397571959,DeepSeek V3.1 (Med)
22,0.09647083,0.86490893,0.7684382,0.5718366432483748,DeepSeek V3.1 (Med)
23,-0.0368734,0.8500671,0.88694036,0.8215448068346085,DeepSeek V3.1 (Med)
24,-0.028654397,0.83446,0.8631144,0.7648733477419979,DeepSeek V3.1 (Med)
25,-0.061850607,0.813303,0.87515366,0.5699179961775354,DeepSeek V3.1 (Med)
26,0.06613457,0.86820364,0.80206907,0.48189289684662556,DeepSeek V3.1 (Med)
27,-0.07625514,0.85797054,0.9342258,0.7097530250942531,DeepSeek V3.1 (Med)
28,-0.041406095,0.8234056,0.86481166,0.6902844045717494,DeepSeek V3.1 (Med)
29,0.059657395,0.7926783,0.7330208,0.6898657444621509,DeepSeek V3.1 (Med)
30,0.2080515,0.8097644,0.60171276,0.18142613022895185,DeepSeek V3.1 (Med)
1,0.010239661,0.88424027,0.8740005,0.8738949255343467,Llama 4 Maverick (Med)
2,-0.013361692,0.86455715,0.8779187,0.8284151845542018,Llama 4 Maverick (Med)
3,0.20302224,0.74490416,0.54188186,0.40202080965551285,Llama 4 Maverick (Med)
4,-0.026943803,0.89339525,0.9203392,0.8698682623639584,Llama 4 Maverick (Med)
5,-0.03441876,0.9061499,0.9405686,0.7898358162819173,Llama 4 Maverick (Med)
6,0.020248711,0.8421794,0.82193065,0.6334629948499048,Llama 4 Maverick (Med)
7,-0.039856076,0.9174992,0.9573553,0.869301236535926,Llama 4 Maverick (Med)
8,-0.053908825,0.83564085,0.8895498,0.608948489073599,Llama 4 Maverick (Med)
9,-0.018204093,0.90921974,0.9274238,0.8240711254467287,Llama 4 Maverick (Med)
10,0.15334016,0.8735807,0.72024065,0.23020875548027894,Llama 4 Maverick (Med)
11,-0.014903426,0.9166745,0.93157804,0.8095372072236712,Llama 4 Maverick (Med)
12,0.025741816,0.88277423,0.8570324,0.3714323764658748,Llama 4 Maverick (Med)
13,-0.04186195,0.8712754,0.9131374,0.7953989483777857,Llama 4 Maverick (Med)
14,0.0045740604,0.93597734,0.9314033,0.7687683614622729,Llama 4 Maverick (Med)
15,-0.028582692,0.9008368,0.92941964,0.8127186851223682,Llama 4 Maverick (Med)
16,0.028074086,0.8517866,0.8237127,0.7047599556214853,Llama 4 Maverick (Med)
17,-0.003881514,0.857558,0.8614395,0.7434831452567766,Llama 4 Maverick (Med)
18,0.27869028,0.8735645,0.59487414,0.5602945893427638,Llama 4 Maverick (Med)
19,-0.113102436,0.79466337,0.90776587,0.7090036437014752,Llama 4 Maverick (Med)
20,-0.024215877,0.88459074,0.9088066,0.789331880352878,Llama 4 Maverick (Med)
21,0.060632467,0.8905411,0.8299086,0.4069215190705682,Llama 4 Maverick (Med)
22,-0.055024624,0.8170679,0.87209255,0.6177026411941411,Llama 4 Maverick (Med)
23,0.005880952,0.89182097,0.88594,0.8098540049510735,Llama 4 Maverick (Med)
24,-0.03917873,0.90585,0.9450288,0.8636846946129079,Llama 4 Maverick (Med)
25,-0.022637248,0.8165214,0.8391588,0.6671021829843453,Llama 4 Maverick (Med)
26,-0.04295659,0.8342139,0.87717056,0.668723301086093,Llama 4 Maverick (Med)
27,-0.038443685,0.9067082,0.94515187,0.8278573030958709,Llama 4 Maverick (Med)
28,-0.020035207,0.86597973,0.8860151,0.7617394562352897,Llama 4 Maverick (Med)
29,0.057029724,0.91159725,0.8545677,0.7760309542198652,Llama 4 Maverick (Med)
30,-0.15205592,0.75547165,0.9075277,0.10846610180811056,Llama 4 Maverick (Med)
1,0.012494683,0.8530983,0.8406039,0.8464257423369961,Llama 4 Scout (Med)
2,-0.067780554,0.8224586,0.8902392,0.8156354138852522,Llama 4 Scout (Med)
3,-0.001278162,0.7981282,0.7994064,0.4407233475159168,Llama 4 Scout (Med)
4,-0.082521856,0.83446217,0.916984,0.7455152959011312,Llama 4 Scout (Med)
5,-0.030602634,0.8806324,0.91123503,0.7404110352319212,Llama 4 Scout (Med)
6,0.09196776,0.8653134,0.77334565,0.6059006008165216,Llama 4 Scout (Med)
7,0.008036137,0.8855947,0.8775586,0.8510062918411232,Llama 4 Scout (Med)
8,-0.0029761195,0.8266265,0.8296025,0.603607629601292,Llama 4 Scout (Med)
9,-0.04161614,0.8924126,0.93402874,0.8375254140133441,Llama 4 Scout (Med)
10,-0.11917108,0.82168853,0.94085956,0.17459977513611882,Llama 4 Scout (Med)
11,-0.03477186,0.89387596,0.92864776,0.8594815908172386,Llama 4 Scout (Med)
12,0.17717987,0.85643655,0.6792567,0.2797226295606014,Llama 4 Scout (Med)
13,-0.031143188,0.84148425,0.87262744,0.7902651514149919,Llama 4 Scout (Med)
14,0.019204617,0.902851,0.88364625,0.8576779408500517,Llama 4 Scout (Med)
15,-0.03264278,0.87779653,0.91043925,0.7932175663470441,Llama 4 Scout (Med)
16,-0.06101668,0.84251016,0.9035269,0.6916437734331932,Llama 4 Scout (Med)
17,-0.023087502,0.8592421,0.8823296,0.7479912201142298,Llama 4 Scout (Med)
18,0.022218287,0.8293908,0.8071725,0.6572220541003694,Llama 4 Scout (Med)
19,-0.08476418,0.78611237,0.87087643,0.7871279663759762,Llama 4 Scout (Med)
20,-0.058567584,0.86532426,0.9238917,0.8306290785404136,Llama 4 Scout (Med)
21,-0.032454014,0.8959417,0.9283956,0.372652822298339,Llama 4 Scout (Med)
22,-0.029819727,0.80152243,0.83134216,0.6259838458405885,Llama 4 Scout (Med)
23,-0.033377886,0.8629861,0.8963639,0.8157252395306211,Llama 4 Scout (Med)
24,-0.03237623,0.8922549,0.9246311,0.8686623233351413,Llama 4 Scout (Med)
25,-0.10419059,0.8138633,0.91805387,0.5890252355373983,Llama 4 Scout (Med)
26,-0.06584084,0.79646033,0.8623011,0.6863409124158184,Llama 4 Scout (Med)
27,-0.0767892,0.853735,0.93052435,0.849439533616632,Llama 4 Scout (Med)
28,-0.066673815,0.8100104,0.87668425,0.7353071462442069,Llama 4 Scout (Med)
29,-0.0510602,0.83927035,0.8903306,0.7740367156890946,Llama 4 Scout (Med)
30,-0.22063243,0.7452299,0.9658624,0.023763517799489757,Llama 4 Scout (Med)
