model,domain,position,drci,var_ratio,mutual_info_proxy
GPT-4o-mini (Phil),philosophy,1,0.003060162,0.743909,0.2560909986495971
GPT-4o-mini (Phil),philosophy,2,0.018248737,0.7972497,0.2027503252029419
GPT-4o-mini (Phil),philosophy,3,0.01728028,0.7064145,0.2935854792594909
GPT-4o-mini (Phil),philosophy,4,0.011023581,0.8531244,0.1468756198883056
GPT-4o-mini (Phil),philosophy,5,0.15108192,0.37460735,0.6253926455974579
GPT-4o-mini (Phil),philosophy,6,0.0061992407,0.9412803,0.0587196946144104
GPT-4o-mini (Phil),philosophy,7,0.040655375,0.76545995,0.234540045261383
GPT-4o-mini (Phil),philosophy,8,0.022144318,0.84785706,0.1521429419517517
GPT-4o-mini (Phil),philosophy,9,0.17844391,0.38669303,0.6133069694042206
GPT-4o-mini (Phil),philosophy,10,0.07078838,0.50644654,0.4935534596443176
GPT-4o-mini (Phil),philosophy,11,0.0786041,0.5992402,0.4007598161697387
GPT-4o-mini (Phil),philosophy,12,-0.016048968,1.1949245,-0.1949244737625122
GPT-4o-mini (Phil),philosophy,13,-0.06351864,1.5686516,-0.568651556968689
GPT-4o-mini (Phil),philosophy,14,-0.023551881,1.2230599,-0.2230598926544189
GPT-4o-mini (Phil),philosophy,15,-0.007620394,1.1024551,-0.1024551391601562
GPT-4o-mini (Phil),philosophy,16,0.00553751,0.92878336,0.0712166428565979
GPT-4o-mini (Phil),philosophy,17,-0.042056262,1.4935007,-0.4935007095336914
GPT-4o-mini (Phil),philosophy,18,0.0509305,0.73214847,0.2678515315055847
GPT-4o-mini (Phil),philosophy,19,0.11909866,0.5275501,0.4724498987197876
GPT-4o-mini (Phil),philosophy,20,-0.06993878,2.938217,-1.9382169246673584
GPT-4o-mini (Phil),philosophy,21,-0.026509762,1.2579525,-0.2579524517059326
GPT-4o-mini (Phil),philosophy,22,-0.007885456,1.0720749,-0.0720748901367187
GPT-4o-mini (Phil),philosophy,23,0.03826189,0.79534787,0.2046521306037902
GPT-4o-mini (Phil),philosophy,24,0.03705114,0.6876556,0.3123443722724914
GPT-4o-mini (Phil),philosophy,25,0.028699517,0.76383686,0.2361631393432617
GPT-4o-mini (Phil),philosophy,26,0.035817146,0.80564743,0.1943525671958923
GPT-4o-mini (Phil),philosophy,27,-0.01597017,1.2653601,-0.2653601169586181
GPT-4o-mini (Phil),philosophy,28,0.029066086,0.8456985,0.1543015241622924
GPT-4o-mini (Phil),philosophy,29,-0.028701425,1.3876047,-0.3876047134399414
GPT-4o-mini (Phil),philosophy,30,0.010864794,0.9170644,0.0829355716705322
GPT-4o (Phil),philosophy,1,0.0005893111,0.8175297,0.1824703216552734
GPT-4o (Phil),philosophy,2,0.033000708,0.63847476,0.3615252375602722
GPT-4o (Phil),philosophy,3,0.030715704,0.6133372,0.3866627812385559
GPT-4o (Phil),philosophy,4,0.008071542,0.90192515,0.0980748534202575
GPT-4o (Phil),philosophy,5,0.16166359,0.37684697,0.623153030872345
GPT-4o (Phil),philosophy,6,0.006852746,0.9343549,0.0656450986862182
GPT-4o (Phil),philosophy,7,-0.0134913325,1.089067,-0.0890669822692871
GPT-4o (Phil),philosophy,8,0.016203761,0.913648,0.086351990699768
GPT-4o (Phil),philosophy,9,0.096227586,0.70750165,0.2924983501434326
GPT-4o (Phil),philosophy,10,0.16285545,0.34599122,0.6540087759494781
GPT-4o (Phil),philosophy,11,0.16706783,0.4698663,0.5301336944103241
GPT-4o (Phil),philosophy,12,0.021679938,0.80044854,0.1995514631271362
GPT-4o (Phil),philosophy,13,0.15345961,0.48375225,0.5162477493286133
GPT-4o (Phil),philosophy,14,-0.03658712,1.3860248,-0.3860248327255249
GPT-4o (Phil),philosophy,15,-0.0070536137,1.0820209,-0.082020878791809
GPT-4o (Phil),philosophy,16,-0.015446246,1.1930972,-0.1930972337722778
GPT-4o (Phil),philosophy,17,-0.016909182,1.1439066,-0.1439065933227539
GPT-4o (Phil),philosophy,18,0.13203412,0.4832894,0.5167106091976166
GPT-4o (Phil),philosophy,19,0.11586499,0.59574777,0.4042522311210632
GPT-4o (Phil),philosophy,20,-0.06855935,2.2269604,-1.2269604206085205
GPT-4o (Phil),philosophy,21,-0.028639734,1.3768058,-0.3768057823181152
GPT-4o (Phil),philosophy,22,-0.030074716,1.270788,-0.2707879543304443
GPT-4o (Phil),philosophy,23,0.032448888,0.8396766,0.1603233814239502
GPT-4o (Phil),philosophy,24,-0.029033184,1.3235856,-0.3235856294631958
GPT-4o (Phil),philosophy,25,0.008192897,0.9366233,0.0633767247200012
GPT-4o (Phil),philosophy,26,0.10483909,0.65515465,0.3448453545570373
GPT-4o (Phil),philosophy,27,-0.0018990636,1.0269138,-0.0269137620925903
GPT-4o (Phil),philosophy,28,0.0029055476,0.9870971,0.0129029154777526
GPT-4o (Phil),philosophy,29,-0.06917381,1.8979491,-0.8979490995407104
GPT-4o (Phil),philosophy,30,0.002970457,0.9773346,0.0226653814315795
Claude Haiku (Phil),philosophy,1,0.0036699772,0.83449984,0.1655001640319824
Claude Haiku (Phil),philosophy,2,-0.006298542,1.0296355,-0.0296355485916137
Claude Haiku (Phil),philosophy,3,0.011438012,0.9019173,0.0980827212333679
Claude Haiku (Phil),philosophy,4,0.010397911,0.9260612,0.0739387869834899
Claude Haiku (Phil),philosophy,5,-0.070581436,1.7299061,-0.7299060821533203
Claude Haiku (Phil),philosophy,6,0.06530589,0.7086761,0.2913239002227783
Claude Haiku (Phil),philosophy,7,0.11881775,0.52751553,0.4724844694137573
Claude Haiku (Phil),philosophy,8,-0.009328961,1.0457312,-0.0457311868667602
Claude Haiku (Phil),philosophy,9,0.1116671,0.666526,0.3334739804267883
Claude Haiku (Phil),philosophy,10,-0.031907678,1.2649548,-0.2649548053741455
Claude Haiku (Phil),philosophy,11,0.13731068,0.53633684,0.4636631608009338
Claude Haiku (Phil),philosophy,12,-0.03250152,1.2280512,-0.2280511856079101
Claude Haiku (Phil),philosophy,13,-0.03344989,1.1939191,-0.1939190626144409
Claude Haiku (Phil),philosophy,14,-0.008498371,1.0397663,-0.0397663116455078
Claude Haiku (Phil),philosophy,15,0.0014739633,0.99145764,0.0085423588752746
Claude Haiku (Phil),philosophy,16,-0.016524374,1.0843554,-0.084355354309082
Claude Haiku (Phil),philosophy,17,-0.0016028881,1.0068525,-0.0068525075912475
Claude Haiku (Phil),philosophy,18,-0.014741898,1.0857303,-0.0857303142547607
Claude Haiku (Phil),philosophy,19,-0.0387581,1.1669136,-0.166913628578186
Claude Haiku (Phil),philosophy,20,-0.019327104,1.1001691,-0.1001690626144409
Claude Haiku (Phil),philosophy,21,0.03756976,0.8499256,0.1500744223594665
Claude Haiku (Phil),philosophy,22,-0.011201978,1.056757,-0.0567569732666015
Claude Haiku (Phil),philosophy,23,-0.023401856,1.1210787,-0.1210787296295166
Claude Haiku (Phil),philosophy,24,0.03342569,0.88715494,0.1128450632095336
Claude Haiku (Phil),philosophy,25,-0.028662145,1.137016,-0.1370160579681396
Claude Haiku (Phil),philosophy,26,-0.020825267,1.0803592,-0.0803592205047607
Claude Haiku (Phil),philosophy,27,-0.010508597,1.0669723,-0.0669722557067871
Claude Haiku (Phil),philosophy,28,-0.010843217,1.0415155,-0.0415154695510864
Claude Haiku (Phil),philosophy,29,-0.01837349,1.0841794,-0.084179401397705
Claude Haiku (Phil),philosophy,30,0.009462893,0.95617217,0.0438278317451477
Gemini Flash (Phil),philosophy,1,-0.0039563775,1.1047239,-0.1047239303588867
Gemini Flash (Phil),philosophy,2,-0.034882367,1.2573023,-0.2573022842407226
Gemini Flash (Phil),philosophy,3,0.020431995,0.830734,0.1692659854888916
Gemini Flash (Phil),philosophy,4,0.09114289,0.70269006,0.297309935092926
Gemini Flash (Phil),philosophy,5,0.02256924,0.947165,0.0528349876403808
Gemini Flash (Phil),philosophy,6,0.061857462,0.80236834,0.1976316571235656
Gemini Flash (Phil),philosophy,7,-0.06946516,1.1974586,-0.1974586248397827
Gemini Flash (Phil),philosophy,8,0.07413715,0.8149647,0.1850352883338928
Gemini Flash (Phil),philosophy,9,0.0598678,0.83406264,0.1659373641014099
Gemini Flash (Phil),philosophy,10,-0.07603091,1.4334906,-0.4334906339645386
Gemini Flash (Phil),philosophy,11,0.251322,0.5206566,0.4793434143066406
Gemini Flash (Phil),philosophy,12,-0.038302004,1.5079141,-0.5079140663146973
Gemini Flash (Phil),philosophy,13,0.09104532,0.6398371,0.3601629137992859
Gemini Flash (Phil),philosophy,14,-0.07268494,1.3185678,-0.3185677528381347
Gemini Flash (Phil),philosophy,15,-0.02365309,1.2412608,-0.2412607669830322
Gemini Flash (Phil),philosophy,16,-0.09587175,1.5051565,-0.5051565170288086
Gemini Flash (Phil),philosophy,17,0.037649393,0.87829596,0.1217040419578552
Gemini Flash (Phil),philosophy,18,-0.024333298,1.0730759,-0.0730758905410766
Gemini Flash (Phil),philosophy,19,0.007152796,0.9785424,0.0214576125144958
Gemini Flash (Phil),philosophy,20,-0.09833878,1.6670557,-0.6670557260513306
Gemini Flash (Phil),philosophy,21,-0.1257366,1.8103887,-0.8103886842727661
Gemini Flash (Phil),philosophy,22,0.01965022,0.8975194,0.1024805903434753
Gemini Flash (Phil),philosophy,23,0.10774851,0.57757205,0.4224279522895813
Gemini Flash (Phil),philosophy,24,-0.21750158,2.7771957,-1.777195692062378
Gemini Flash (Phil),philosophy,25,-0.020771086,1.1151298,-0.1151298284530639
Gemini Flash (Phil),philosophy,26,-0.04329294,1.1333503,-0.1333502531051635
Gemini Flash (Phil),philosophy,27,-0.022698224,1.3818169,-0.3818168640136719
Gemini Flash (Phil),philosophy,28,0.058632612,0.84154826,0.1584517359733581
Gemini Flash (Phil),philosophy,29,-0.0056222677,1.0183097,-0.0183097124099731
Gemini Flash (Phil),philosophy,30,0.065173924,0.77892745,0.2210725545883178
Gemini Flash (Med),medical,1,0.007358432,0.94098544,0.0590145587921142
Gemini Flash (Med),medical,2,0.16219229,0.5927314,0.4072685837745666
Gemini Flash (Med),medical,3,-0.23755658,1.9323974,-0.9323973655700684
Gemini Flash (Med),medical,4,0.09543842,0.7263419,0.2736580967903137
Gemini Flash (Med),medical,5,-0.14280552,2.0491173,-1.0491173267364502
Gemini Flash (Med),medical,6,-0.031325698,1.1806579,-0.1806578636169433
Gemini Flash (Med),medical,7,0.043390393,0.8116106,0.1883894205093383
Gemini Flash (Med),medical,8,0.11191189,0.67103475,0.3289652466773987
Gemini Flash (Med),medical,9,-0.072021544,2.4061453,-1.4061453342437744
Gemini Flash (Med),medical,10,0.042903125,0.778661,0.2213389873504638
Gemini Flash (Med),medical,11,0.023761868,0.816754,0.1832460165023803
Gemini Flash (Med),medical,12,0.10741788,0.6628411,0.3371589183807373
Gemini Flash (Med),medical,13,0.0882771,0.71642333,0.2835766673088074
Gemini Flash (Med),medical,14,-0.005052507,1.030714,-0.0307140350341796
Gemini Flash (Med),medical,15,-0.047490418,1.3005173,-0.3005173206329345
Gemini Flash (Med),medical,16,-0.06713182,1.2459224,-0.2459224462509155
Gemini Flash (Med),medical,17,-0.08589846,1.5793185,-0.5793185234069824
Gemini Flash (Med),medical,18,-0.079119205,1.6459718,-0.6459717750549316
Gemini Flash (Med),medical,19,-0.10258299,1.3982904,-0.3982903957366943
Gemini Flash (Med),medical,20,-0.11549485,1.6980616,-0.6980615854263306
Gemini Flash (Med),medical,21,0.023663223,0.91788226,0.082117736339569
Gemini Flash (Med),medical,22,0.0754959,0.7743112,0.2256888151168823
Gemini Flash (Med),medical,23,-0.086398184,1.9910891,-0.9910891056060792
Gemini Flash (Med),medical,24,0.27397966,0.4227349,0.5772651135921478
Gemini Flash (Med),medical,25,-0.13824487,1.7361548,-0.7361547946929932
Gemini Flash (Med),medical,26,0.029491663,0.89794564,0.1020543575286865
Gemini Flash (Med),medical,27,-0.11846441,4.1068864,-3.106886386871338
Gemini Flash (Med),medical,28,-0.1241858,1.479786,-0.4797860383987427
Gemini Flash (Med),medical,29,-0.0696646,1.4818568,-0.4818568229675293
Gemini Flash (Med),medical,30,0.2274743,0.60351473,0.3964852690696716
DeepSeek V3.1 (Med),medical,1,0.010239422,0.93709713,0.0629028677940368
DeepSeek V3.1 (Med),medical,2,-0.01297009,1.097641,-0.0976409912109375
DeepSeek V3.1 (Med),medical,3,0.02598989,0.9089526,0.0910474061965942
DeepSeek V3.1 (Med),medical,4,-0.04624325,1.2947907,-0.2947907447814941
DeepSeek V3.1 (Med),medical,5,-0.06544727,1.9021662,-0.9021662473678588
DeepSeek V3.1 (Med),medical,6,-0.010894299,1.0593485,-0.0593484640121459
DeepSeek V3.1 (Med),medical,7,-0.0154412985,1.126849,-0.1268490552902221
DeepSeek V3.1 (Med),medical,8,0.08184981,0.626385,0.373615026473999
DeepSeek V3.1 (Med),medical,9,-0.02385515,1.2479625,-0.247962474822998
DeepSeek V3.1 (Med),medical,10,0.12388384,0.51095766,0.4890423417091369
DeepSeek V3.1 (Med),medical,11,0.010908246,0.9119656,0.0880343914031982
DeepSeek V3.1 (Med),medical,12,0.036710322,0.8474203,0.1525797247886657
DeepSeek V3.1 (Med),medical,13,-0.04227847,1.4203787,-0.4203786849975586
DeepSeek V3.1 (Med),medical,14,0.015818119,0.8796502,0.1203498244285583
DeepSeek V3.1 (Med),medical,15,-0.06616318,1.528404,-0.5284039974212646
DeepSeek V3.1 (Med),medical,16,-0.06160879,1.3943778,-0.3943778276443481
DeepSeek V3.1 (Med),medical,17,0.0041956306,0.96884584,0.0311541557312011
DeepSeek V3.1 (Med),medical,18,-0.011391342,1.0746549,-0.0746549367904663
DeepSeek V3.1 (Med),medical,19,-0.0010459423,1.0059569,-0.0059568881988525
DeepSeek V3.1 (Med),medical,20,0.008405924,0.91153663,0.0884633660316467
DeepSeek V3.1 (Med),medical,21,0.10125363,0.47930038,0.5206996202468872
DeepSeek V3.1 (Med),medical,22,0.09647083,0.5833913,0.4166086912155151
DeepSeek V3.1 (Med),medical,23,-0.0368734,1.32614,-0.3261400461196899
DeepSeek V3.1 (Med),medical,24,-0.028654397,1.2093309,-0.2093309164047241
DeepSeek V3.1 (Med),medical,25,-0.061850607,1.4954147,-0.4954147338867187
DeepSeek V3.1 (Med),medical,26,0.06613457,0.6658704,0.3341295719146728
DeepSeek V3.1 (Med),medical,27,-0.07625514,2.159348,-1.1593480110168457
DeepSeek V3.1 (Med),medical,28,-0.041406095,1.3062841,-0.3062840700149536
DeepSeek V3.1 (Med),medical,29,0.059657395,0.77654624,0.2234537601470947
DeepSeek V3.1 (Med),medical,30,0.2080515,0.4776341,0.5223658978939056
Llama 4 Maverick (Med),medical,1,0.010239661,0.9187323,0.0812677145004272
Llama 4 Maverick (Med),medical,2,-0.013361692,1.1094486,-0.1094485521316528
Llama 4 Maverick (Med),medical,3,0.20302224,0.55683416,0.4431658387184143
Llama 4 Maverick (Med),medical,4,-0.026943803,1.338232,-0.3382320404052734
Llama 4 Maverick (Med),medical,5,-0.03441876,1.5791339,-0.5791338682174683
Llama 4 Maverick (Med),medical,6,0.020248711,0.8862872,0.1137127876281738
Llama 4 Maverick (Med),medical,7,-0.039856076,1.9346061,-0.9346060752868652
Llama 4 Maverick (Med),medical,8,-0.053908825,1.4880824,-0.4880824089050293
Llama 4 Maverick (Med),medical,9,-0.018204093,1.2508271,-0.2508270740509033
Llama 4 Maverick (Med),medical,10,0.15334016,0.45188576,0.5481142401695251
Llama 4 Maverick (Med),medical,11,-0.014903426,1.2178165,-0.2178164720535278
Llama 4 Maverick (Med),medical,12,0.025741816,0.8199463,0.1800537109375
Llama 4 Maverick (Med),medical,13,-0.04186195,1.481932,-0.4819320440292358
Llama 4 Maverick (Med),medical,14,0.0045740604,0.933319,0.0666810274124145
Llama 4 Maverick (Med),medical,15,-0.028582692,1.404968,-0.4049680233001709
Llama 4 Maverick (Med),medical,16,0.028074086,0.8407491,0.1592509150505066
Llama 4 Maverick (Med),medical,17,-0.003881514,1.0280135,-0.0280134677886962
Llama 4 Maverick (Med),medical,18,0.27869028,0.31208944,0.6879105567932129
Llama 4 Maverick (Med),medical,19,-0.113102436,2.2262526,-1.226252555847168
Llama 4 Maverick (Med),medical,20,-0.024215877,1.2655438,-0.2655438184738159
Llama 4 Maverick (Med),medical,21,0.060632467,0.64353025,0.3564697504043579
Llama 4 Maverick (Med),medical,22,-0.055024624,1.430191,-0.4301910400390625
Llama 4 Maverick (Med),medical,23,0.005880952,0.94843996,0.0515600442886352
Llama 4 Maverick (Med),medical,24,-0.03917873,1.712715,-0.7127150297164917
Llama 4 Maverick (Med),medical,25,-0.022637248,1.1407431,-0.1407431364059448
Llama 4 Maverick (Med),medical,26,-0.04295659,1.3497258,-0.3497258424758911
Llama 4 Maverick (Med),medical,27,-0.038443685,1.7009107,-0.7009106874465942
Llama 4 Maverick (Med),medical,28,-0.020035207,1.1757709,-0.175770878791809
Llama 4 Maverick (Med),medical,29,0.057029724,0.60786164,0.3921383619308471
Llama 4 Maverick (Med),medical,30,-0.15205592,2.6443398,-1.6443397998809814
Llama 4 Scout (Med),medical,1,0.012494683,0.9216133,0.0783867239952087
Llama 4 Scout (Med),medical,2,-0.067780554,1.6175301,-0.617530107498169
Llama 4 Scout (Med),medical,3,-0.001278162,1.006372,-0.0063719749450683
Llama 4 Scout (Med),medical,4,-0.082521856,1.9940469,-0.9940469264984132
Llama 4 Scout (Med),medical,5,-0.030602634,1.3447617,-0.3447617292404175
Llama 4 Scout (Med),medical,6,0.09196776,0.59423804,0.4057619571685791
Llama 4 Scout (Med),medical,7,0.008036137,0.9343679,0.0656321048736572
Llama 4 Scout (Med),medical,8,-0.0029761195,1.0174655,-0.0174654722213745
Llama 4 Scout (Med),medical,9,-0.04161614,1.6308225,-0.6308225393295288
Llama 4 Scout (Med),medical,10,-0.11917108,3.0150468,-2.0150468349456787
Llama 4 Scout (Med),medical,11,-0.03477186,1.4873278,-0.4873278141021728
Llama 4 Scout (Med),medical,12,0.17717987,0.44759613,0.5524038672447205
Llama 4 Scout (Med),medical,13,-0.031143188,1.244505,-0.2445050477981567
Llama 4 Scout (Med),medical,14,0.019204617,0.83494556,0.165054440498352
Llama 4 Scout (Med),medical,15,-0.03264278,1.3644757,-0.3644757270812988
Llama 4 Scout (Med),medical,16,-0.06101668,1.6324735,-0.6324734687805176
Llama 4 Scout (Med),medical,17,-0.023087502,1.1962048,-0.1962047815322876
Llama 4 Scout (Med),medical,18,0.022218287,0.88477606,0.1152239441871643
Llama 4 Scout (Med),medical,19,-0.08476418,1.656457,-0.6564569473266602
Llama 4 Scout (Med),medical,20,-0.058567584,1.7695284,-0.7695283889770508
Llama 4 Scout (Med),medical,21,-0.032454014,1.4532396,-0.4532395601272583
Llama 4 Scout (Med),medical,22,-0.029819727,1.1768062,-0.1768062114715576
Llama 4 Scout (Med),medical,23,-0.033377886,1.3220677,-0.3220677375793457
Llama 4 Scout (Med),medical,24,-0.03237623,1.4295717,-0.4295717477798462
Llama 4 Scout (Med),medical,25,-0.10419059,2.2714522,-1.2714521884918213
Llama 4 Scout (Med),medical,26,-0.06584084,1.4781501,-0.4781501293182373
Llama 4 Scout (Med),medical,27,-0.0767892,2.1052673,-1.1052672863006592
Llama 4 Scout (Med),medical,28,-0.066673815,1.5406761,-0.5406761169433594
Llama 4 Scout (Med),medical,29,-0.0510602,1.4655834,-0.4655834436416626
Llama 4 Scout (Med),medical,30,-0.22063243,7.463016,-6.463016033172607
